dates,link,session_title,subscript,voting_id,voting_number,voting_title
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,266.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Przyjęcie ustawy wraz z poprawkami,266,18,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,267.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka,267,19,Drugie czytanie projektu ustawy o zmianie ustawy o systemie ubezpieczeń społecznych
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,288.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Przyjęcie projektu wraz z poprawką,288,20,Drugie czytanie projektu ustawy o zmianie ustawy o systemie ubezpieczeń społecznych
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,294.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o przyjęcie projektu,294,21,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,295.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o przyjęcie projektu,295,22,Drugie czytanie projektu ustawy o zmianie ustawy o Instytucie Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,271.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka,271,23,Drugie czytanie projektu ustawy o zmianie ustawy o referendum lokalnym
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,272.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Przyjęcie projektu wraz z poprawką,272,24,Drugie czytanie projektu ustawy o zmianie ustawy o referendum lokalnym
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,273.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o przyjęcie projektu,273,25,Drugie czytanie projektu ustawy o zmianie ustawy o organizacji rynku rybnego
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,274.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o przyjęcie projektu,274,26,Drugie czytanie projektu opinii o niezgodności z zasadą pomocniczości projektu dyrektywy Parlamentu Europejskiego i Rady zmieniającej dyrektywę 2001/83/WE w odniesieniu do informacji kierowanych do ogółu społeczeństwa dotyczących produktów leczniczych wydawanych na receptę lekarską COM(2012)048 oraz projektu rozporządzenia Parlamentu Europejskiego i Rady zmieniającego rozporządzenie (WE) nr 726/2004 w odniesieniu do informacji kierowanych do ogółu społeczeństwa dotyczących produktów leczniczych stosowanych u ludzi wydawanych na receptę lekarską COM(2012)049
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,275.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka,275,27,Drugie czytanie projektu uchwały z okazji 120 rocznicy urodzin wielkiego matematyka Stefana Banacha
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,276.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Przyjęcie projektu wraz z poprawką,276,28,Drugie czytanie projektu uchwały z okazji 120 rocznicy urodzin wielkiego matematyka Stefana Banacha
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,248.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o odrzucenie projektu,248,29,"Drugie czytanie projektu ustawy o zmianie ustawy o samorządzie gminnym, ustawy o samorządzie powiatowym oraz ustawy o wprowadzeniu zasadniczego trójstopniowego podziału terytorialnego państwa"
25 i 26 kwietnia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,368.html","Posiedzenie: 10. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o przyjęcie projektu,368,1,Drugie czytanie projektu uchwały w 30. rocznicę utworzenia Tymczasowej Komisji Koordynacyjnej NSZZ „Solidarność”
25 i 26 kwietnia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,353.html","Posiedzenie: 10. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o odrzucenie ustawy,353,2,Ustawa o zmianie ustawy o szczególnych zasadach przygotowania i realizacji inwestycji w zakresie dróg publicznych
25 i 26 kwietnia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,356.html","Posiedzenie: 10. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o przyjęcie ustawy bez poprawek,356,3,Ustawa o zmianie ustawy o szczególnych zasadach przygotowania i realizacji inwestycji w zakresie dróg publicznych
