No. of voting,Title,Subscript,Link,voting_id,Session,Dates
15,"Ustawa o ratyfikacji Umowy między Rzecząpospolitą Polską a Jersey w sprawie unikania podwójnego opodatkowania osób fizycznych, sporządzonej w Londynie dnia 2 grudnia 2011 r.",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,384.html",384,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
16,"Ustawa o ratyfikacji Umowy między Rzecząpospolitą Polską a Baliwatem Guernsey o wymianie informacji w sprawach podatkowych, sporządzonej w Londynie dnia 6 grudnia 2011 r.",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,385.html",385,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
17,Drugie czytanie projektu ustawy o zmianie ustawy o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,386.html",386,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
18,Drugie czytanie projektu ustawy o zmianie ustawy – Prawo o ustroju sądów powszechnych oraz ustawy – Prawo o ustroju sądów wojskowych,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,387.html",387,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
19,Drugie czytanie projektu ustawy o zmianie ustawy o spółdzielniach mieszkaniowych,Poprawka,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,388.html",388,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
20,Drugie czytanie projektu ustawy o zmianie ustawy o spółdzielniach mieszkaniowych,Przyjęcie projektu wraz z poprawką,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,389.html",389,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
21,Drugie czytanie projektu ustawy o zmianie ustawy o Agencji Bezpieczeństwa Wewnętrznego oraz Agencji Wywiadu,Poprawka,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,390.html",390,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
22,Drugie czytanie projektu ustawy o zmianie ustawy o Agencji Bezpieczeństwa Wewnętrznego oraz Agencji Wywiadu,Przyjęcie projektu wraz z poprawką,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,391.html",391,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
23,Drugie czytanie projektu uchwały w setną rocznicę śmierci Bolesława Prusa,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,392.html",392,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
24,Ustawa o zmianie ustawy - Kodeks karny oraz ustawy o systemie ubezpieczeń społecznych,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,393.html",393,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
25,Ustawa o zmianie ustawy o samorządzie gminnym,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,370.html",370,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
1,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,394.html",394,"Posiedzenie: 12. posiedzenie Senatu RP VIII kadencji, 1 dzień",23 i 24 maja 2012 r.
2,Ustawa o zmianie ustawy o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych oraz niektórych innych ustaw,Wniosek o odrzucenie ustawy,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,396.html",396,"Posiedzenie: 12. posiedzenie Senatu RP VIII kadencji, 2 dzień",23 i 24 maja 2012 r.
3,Ustawa o zmianie ustawy o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych oraz niektórych innych ustaw,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,397.html",397,"Posiedzenie: 12. posiedzenie Senatu RP VIII kadencji, 2 dzień",23 i 24 maja 2012 r.
